MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process			IDA		J:29350 J:164794 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in spleen|happens in lung|happens in brain|happens in liver|happens in thymus|happens in metanephros|happens in heart|happens in tongue|happens in stomach proventricular region|happens in esophagus|happens in small intestine|happens in large intestine		IDA		J:96688 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in duodenum|happens in metanephros|happens in spleen|happens in lung|happens in stomach|happens in colon|happens in brain|happens in eye|happens in liver|happens in adrenal gland|happens in lymph node|happens in skeletal musculature|happens in bone marrow|happens in thymus|happens in skin|happens in ovary|happens in femur|happens in bladder|happens in heart|happens in trachea|happens in tongue|happens in stomach proventricular region		IDA		J:35811 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in uterus		IDA		J:139631 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in placenta		IDA		J:1463 J:42444 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in embryo		IMP	MGI:1857117 	J:25085 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in placenta		IMP	MGI:1857117 	J:42444 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in spleen|happens in lung|happens in brain|happens in liver|happens in thymus|happens in metanephros|happens in heart		IMP	MGI:1857117 MGI:2681791 	J:96688 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process	happens in duodenum|happens in tongue|happens in stomach proventricular region|happens in esophagus|happens in jejunum|happens in ileum		IMP	MGI:1857117 MGI:2683027 	J:110603 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process			ISO	P00813 	J:73065 	
MGI:87916	Ada	adenosine deaminase	2		purine nucleotide salvage			ISO	P00813 	J:164563 	
MGI:87916	Ada	adenosine deaminase	2		purine ribonucleoside monophosphate biosynthetic process			IEA	IPR006650 IPR028893 	J:72247 	
MGI:87916	Ada	adenosine deaminase	2		xanthine biosynthetic process	happens in duodenum|happens in tongue|happens in stomach proventricular region|happens in esophagus|happens in jejunum|happens in ileum		IMP	MGI:1857117 MGI:2683027 	J:110603 	
MGI:1923144	Adal	adenosine deaminase-like	2		inosine biosynthetic process			IBA	PTN000150817 	J:265628 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of NF-kappaB transcription factor activity			IDA		J:172936 	
MGI:99677	Adcy1	adenylate cyclase 1	11		cAMP biosynthetic process			IBA	PTN000938101 	J:265628 	
MGI:99677	Adcy1	adenylate cyclase 1	11		cAMP biosynthetic process			ISO	RGD:1309318 	J:155856 	
MGI:99677	Adcy1	adenylate cyclase 1	11		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:99677	Adcy1	adenylate cyclase 1	11		positive regulation of CREB transcription factor activity			IMP		J:107678 	
MGI:99676	Adcy2	adenylate cyclase 2	13		cAMP biosynthetic process			ISO	RGD:619965 	J:155856 	
MGI:99676	Adcy2	adenylate cyclase 2	13		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:99675	Adcy3	adenylate cyclase 3	12		cAMP biosynthetic process			IBA	PTN000938101 	J:265628 	
MGI:99675	Adcy3	adenylate cyclase 3	12		cAMP biosynthetic process			IMP		J:64745 	
MGI:99675	Adcy3	adenylate cyclase 3	12		cAMP biosynthetic process			ISO	RGD:71009 	J:155856 	
MGI:99675	Adcy3	adenylate cyclase 3	12		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:99674	Adcy4	adenylate cyclase 4	14		cAMP biosynthetic process			ISO	RGD:2034 	J:155856 	
MGI:99674	Adcy4	adenylate cyclase 4	14		cAMP biosynthetic process			TAS		J:22804 	
MGI:99674	Adcy4	adenylate cyclase 4	14		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:99673	Adcy5	adenylate cyclase 5	16		cAMP biosynthetic process			IBA	PTN000938101 	J:265628 	
MGI:99673	Adcy5	adenylate cyclase 5	16		cAMP biosynthetic process			ISO	RGD:71014 	J:155856 	
MGI:99673	Adcy5	adenylate cyclase 5	16		cAMP biosynthetic process			ISO	O95622 	J:164563 	
MGI:99673	Adcy5	adenylate cyclase 5	16		cAMP biosynthetic process			TAS		J:22804 	
MGI:99673	Adcy5	adenylate cyclase 5	16		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:87917	Adcy6	adenylate cyclase 6	15		cAMP biosynthetic process			IBA	PTN000938101 	J:265628 	
MGI:87917	Adcy6	adenylate cyclase 6	15		cAMP biosynthetic process			IMP		J:161317 	
MGI:87917	Adcy6	adenylate cyclase 6	15		cAMP biosynthetic process			ISO	RGD:2035 	J:155856 	
MGI:87917	Adcy6	adenylate cyclase 6	15		cAMP biosynthetic process			ISO	O43306 	J:164563 	
MGI:87917	Adcy6	adenylate cyclase 6	15		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:102891	Adcy7	adenylate cyclase 7	8		cAMP biosynthetic process			ISO	RGD:619966 	J:155856 	
MGI:102891	Adcy7	adenylate cyclase 7	8		cAMP biosynthetic process			ISO	P51828 	J:164563 	
MGI:102891	Adcy7	adenylate cyclase 7	8		cAMP biosynthetic process			TAS		J:21500 	
MGI:102891	Adcy7	adenylate cyclase 7	8		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		cAMP biosynthetic process			IBA	PTN000938101 	J:265628 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		cAMP biosynthetic process			ISO	RGD:2036 	J:155856 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:1341110	Adcy8	adenylate cyclase 8	15		positive regulation of CREB transcription factor activity			IMP		J:63173 J:107678 	
MGI:108450	Adcy9	adenylate cyclase 9	16		cAMP biosynthetic process			IDA		J:28928 J:33382 	
MGI:108450	Adcy9	adenylate cyclase 9	16		cAMP biosynthetic process			ISO	RGD:1304747 	J:155856 	
MGI:108450	Adcy9	adenylate cyclase 9	16		cAMP biosynthetic process			ISO	O60503 	J:164563 	
MGI:108450	Adcy9	adenylate cyclase 9	16		cyclic nucleotide biosynthetic process			IEA	IPR001054 IPR018297 	J:72247 	
MGI:2660854	Adcy10	adenylate cyclase 10	1		cAMP biosynthetic process			ISO	RGD:708450 	J:155856 	
MGI:2660854	Adcy10	adenylate cyclase 10	1		cAMP biosynthetic process			ISO	Q96PN6 	J:164563 	
MGI:2660854	Adcy10	adenylate cyclase 10	1		cyclic nucleotide biosynthetic process			IEA	IPR001054 	J:72247 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of transcription by RNA polymerase II			IBA	PTN002598721 	J:265628 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of transcription by RNA polymerase II			ISO	RGD:2037 	J:155856 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of transcription by RNA polymerase II			ISO	P18509 	J:164563 	
MGI:1924846	Adgrf1	adhesion G protein-coupled receptor F1	17		positive regulation of CREB transcription factor activity			IDA		J:240496 	
MGI:1859670	Adgrg3	adhesion G protein-coupled receptor G3	8		negative regulation of CREB transcription factor activity			IMP		J:222670 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of DNA biosynthetic process			ISO	Q15848 	J:164563 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of transcription, DNA-templated	regulates UniProtKB:Q9JHI8		IMP		J:136297 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of transcription, DNA-templated			ISO	Q15848 	J:164563 	
MGI:87930	Adk	adenosine kinase	14		dATP biosynthetic process	happens in thymocyte		IMP		J:107216 	
MGI:87930	Adk	adenosine kinase	14		purine ribonucleoside salvage			IDA		J:87766 	
MGI:99402	Adora2a	adenosine A2a receptor	10		regulation of transcription, DNA-templated			ISO	RGD:2049 	J:155856 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of guanylate cyclase activity	regulates a function/process that happens in smooth muscle tissue|regulates a function/process that happens in corpus cavernosum of penis		IMP	MGI:3773754 	J:135978 	
MGI:104847	Adora3	adenosine A3 receptor	3		negative regulation of NF-kappaB transcription factor activity			ISO	P0DMS8 	J:164563 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in osteoblast,regulates Tnfsf11		IGI	MGI:88096 	J:97566 	
MGI:1929289	Adrm1	adhesion regulating molecule 1	2		transcription elongation from RNA polymerase II promoter			ISO	Q16186 	J:164563 	
MGI:103202	Adsl	adenylosuccinate lyase	15		'de novo' AMP biosynthetic process			IBA	PTN000154581 	J:265628 	
MGI:103202	Adsl	adenylosuccinate lyase	15		AMP biosynthetic process			ISA	P12047 	J:37649 	
MGI:103202	Adsl	adenylosuccinate lyase	15		AMP biosynthetic process			ISO	RGD:1307617 	J:155856 	
MGI:103202	Adsl	adenylosuccinate lyase	15		AMP biosynthetic process			ISO	P30566 	J:164563 	
MGI:103202	Adsl	adenylosuccinate lyase	15		purine nucleotide biosynthetic process			IEA	KW-0658 	J:60000 	
MGI:103202	Adsl	adenylosuccinate lyase	15		purine ribonucleotide biosynthetic process			IEA	IPR004769 	J:72247 	
MGI:103202	Adsl	adenylosuccinate lyase	15		ribonucleoside monophosphate biosynthetic process			ISO	RGD:1307617 	J:155856 	
MGI:87948	Adss	adenylosuccinate synthetase, non muscle	1		'de novo' AMP biosynthetic process			IBA	PTN000217844 	J:265628 	
MGI:87948	Adss	adenylosuccinate synthetase, non muscle	1		AMP biosynthetic process			IDA		J:16814 	
MGI:87948	Adss	adenylosuccinate synthetase, non muscle	1		AMP biosynthetic process			ISO	P30520 	J:164563 	
MGI:87948	Adss	adenylosuccinate synthetase, non muscle	1		purine nucleotide biosynthetic process			IDA		J:82138 	
MGI:87947	Adssl1	adenylosuccinate synthetase like 1	12		'de novo' AMP biosynthetic process			IBA	PTN000217844 	J:265628 	
MGI:87947	Adssl1	adenylosuccinate synthetase like 1	12		AMP biosynthetic process			ISO	Q8N142 	J:164563 	
MGI:87947	Adssl1	adenylosuccinate synthetase like 1	12		purine nucleotide biosynthetic process			IEA	IPR001114 	J:72247 	
MGI:87947	Adssl1	adenylosuccinate synthetase like 1	12		purine nucleotide biosynthetic process			IEA	KW-0658 	J:60000 	
MGI:87947	Adssl1	adenylosuccinate synthetase like 1	12		purine ribonucleoside monophosphate biosynthetic process			ISO	RGD:1590342 	J:155856 	
MGI:1197012	Aebp1	AE binding protein 1	11		negative regulation of transcription by RNA polymerase II			ISO	Q8IUX7 	J:164563 	
MGI:1197012	Aebp1	AE binding protein 1	11		regulation of transcription, DNA-templated			IDA		J:37008 	
MGI:1338038	Aebp2	AE binding protein 2	6		negative regulation of transcription by RNA polymerase II	regulates Fabp4		IMP		J:55019 	
MGI:1338038	Aebp2	AE binding protein 2	6		regulation of transcription, DNA-templated			IDA		J:55019 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		positive regulation of transcription, DNA-templated			IBA	PTN002682769 	J:265628 	
MGI:2147658	Afap1l2	actin filament associated protein 1-like 2	19		positive regulation of transcription, DNA-templated			ISO	Q8N4X5 	J:164563 	
MGI:1100819	Aff1	AF4/FMR2 family, member 1	5		positive regulation of transcription, DNA-templated			IDA		J:43803 	
MGI:1100819	Aff1	AF4/FMR2 family, member 1	5		transcription, DNA-templated			TAS		J:76005 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		regulation of transcription, DNA-templated	has the participant Mdga2,uses Mdga2		IDA		J:219240 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		regulation of transcription, DNA-templated	has the participant Mdga2,uses Mdga2		IMP		J:219240 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		transcription, DNA-templated			TAS		J:76005 	
MGI:2448704	Afmid	arylformamidase	11		NAD biosynthetic process			IBA	PTN002346307 	J:265628 	
MGI:87953	Afr2	alpha fetoprotein regulation 2, inducibility	2		regulation of transcription by RNA polymerase II			IMP		J:20408 	
MGI:87953	Afr2	alpha fetoprotein regulation 2, inducibility	2		regulation of transcription by RNA polymerase II	regulates Afp|regulates H19		IMP		J:6993 	
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of transcription by RNA polymerase II	regulates Ccnd1		IMP		J:158376 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of NF-kappaB transcription factor activity			ISO	Q15109 	J:164563 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		positive regulation of transcription by RNA polymerase II			IDA		J:197739 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		positive regulation of transcription by RNA polymerase II	regulates transcription of Ccnb1		IMP		J:197739 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		positive regulation of transcription by RNA polymerase II			ISO	Q9UL18 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		positive regulation of transcription by RNA polymerase II			ISO	Q9UKV8 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		regulation of transcription, DNA-templated			IEA	IPR028602 	J:72247 	
MGI:87961	Agrn	agrin	4		positive regulation of transcription by RNA polymerase II			IDA		J:45159 	
MGI:87961	Agrn	agrin	4		positive regulation of transcription by RNA polymerase II			ISO	RGD:2067 	J:155856 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of transcription, DNA-templated			ISO	P01019 	J:164563 	
MGI:87966	Agtr2	angiotensin II receptor, type 2	X		positive regulation of transcription, DNA-templated			IMP		J:139561 J:172881 	
MGI:1915033	Ahctf1	AT hook containing transcription factor 1	1		regulation of transcription, DNA-templated			IDA		J:79932 	
MGI:87971	Ahi1	Abelson helper integration site 1	10		positive regulation of transcription by RNA polymerase II	regulates UniProtKB:O35668|regulates UniProtKB:P15209		IMP		J:166236 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		negative regulation of DNA biosynthetic process			ISO	RGD:2074 	J:155856 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		negative regulation of transcription by RNA polymerase II			IDA		J:131871 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		negative regulation of transcription, DNA-templated			IDA		J:162974 	
